species_main,genus_main,subfamily_main,family_main,isscaap_division_code,isscaap_division_name,isscaap_group_code,note
Abalistes stellaris,Abalistes,NEI,Balistidae,3,Marine fishes,33,NA
Ablennes hians,Ablennes,NEI,Belonidae,3,Marine fishes,37,NA
Abramis brama,Abramis,Leuciscinae,Cyprinidae,1,Freshwater fishes,11,NA
Abudefduf troschelii,Abudefduf,Pomacentrinae,Pomacentridae,3,Marine fishes,33,warning: matched using derived genus information
Acanthistius brasilianus,Acanthistius,Anthiinae,Serranidae,3,Marine fishes,33,NA
Acanthocardia echinata,Acanthocardia,Lymnocardiinae,Cardiidae,5,Molluscs,56,NA
Acanthocardia tuberculata,Acanthocardia,Lymnocardiinae,Cardiidae,5,Molluscs,56,NA
Acanthocybium solandri,Acanthocybium,Scombrinae,Scombridae,3,Marine fishes,36,NA
Acanthodoras spinosissimus,Acanthodoras,NEI,Doradidae,1,Freshwater fishes,13,NA
Acantholabrus palloni,Acantholabrus,NEI,Labridae,3,Marine fishes,33,NA
Acanthopagrus bifasciatus,Acanthopagrus,NEI,Sparidae,3,Marine fishes,33,NA
Acanthopagrus butcheri,Acanthopagrus,NEI,Sparidae,3,Marine fishes,33,NA
Acanthurus chirurgus,Acanthurus,Acanthurinae,Acanthuridae,3,Marine fishes,33,NA
Acanthurus lineatus,Acanthurus,Acanthurinae,Acanthuridae,3,Marine fishes,33,NA
Acanthurus mata,Acanthurus,Acanthurinae,Acanthuridae,3,Marine fishes,33,NA
Acanthurus monroviae,Acanthurus,Acanthurinae,Acanthuridae,3,Marine fishes,33,NA
Acanthurus xanthopterus,Acanthurus,Acanthurinae,Acanthuridae,3,Marine fishes,33,warning: matched using genus information
Acetes indicus,Acetes,NEI,Sergestidae,4,Crustaceans,45,NA
Acipenser sturio,Acipenser,Acipenserinae,Acipenseridae,2,Diadromous fishes,21,NA
Acipenser transmontanus,Acipenser,Acipenserinae,Acipenseridae,2,Diadromous fishes,21,NA
Actinopyga albonigra,Actinopyga,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,warning: matched using derived genus information
Actinopyga echinites,Actinopyga,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,NA
Actinopyga flammea,Actinopyga,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,warning: matched using derived genus information
Actinopyga lecanora,Actinopyga,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,NA
